iter=0,loss=0.272971,psnr=11.277677
iter=10,loss=0.272082,psnr=11.306012
iter=20,loss=0.265138,psnr=11.530563
iter=30,loss=0.256457,psnr=11.819724
iter=40,loss=0.247635,psnr=12.123773
iter=50,loss=0.243378,psnr=12.274378
iter=60,loss=0.241008,psnr=12.359386
iter=70,loss=0.239413,psnr=12.417042
iter=80,loss=0.236682,psnr=12.516692
iter=90,loss=0.234038,psnr=12.614259
iter=100,loss=0.231897,psnr=12.694087
iter=110,loss=0.226306,psnr=12.906072
iter=120,loss=0.215261,psnr=13.340701
iter=130,loss=0.202422,psnr=13.874855
iter=140,loss=0.195999,psnr=14.154932
iter=150,loss=0.191549,psnr=14.354405
iter=160,loss=0.184206,psnr=14.693929
iter=170,loss=0.175900,psnr=15.094659
iter=180,loss=0.170515,psnr=15.364727
iter=190,loss=0.164213,psnr=15.691865
iter=200,loss=0.159312,psnr=15.955039
iter=210,loss=0.157091,psnr=16.076987
iter=220,loss=0.155966,psnr=16.139377
iter=230,loss=0.153815,psnr=16.259999
iter=240,loss=0.149013,psnr=16.535512
iter=250,loss=0.146217,psnr=16.700052
iter=260,loss=0.143323,psnr=16.873663
iter=270,loss=0.141478,psnr=16.986197
iter=280,loss=0.140682,psnr=17.035231
iter=290,loss=0.139981,psnr=17.078608
iter=300,loss=0.139163,psnr=17.129498
iter=310,loss=0.138430,psnr=17.175419
iter=320,loss=0.136524,psnr=17.295805
iter=330,loss=0.135033,psnr=17.391192
iter=340,loss=0.133161,psnr=17.512490
iter=350,loss=0.132200,psnr=17.575360
iter=360,loss=0.130462,psnr=17.690341
iter=370,loss=0.125420,psnr=18.032682
iter=380,loss=0.121938,psnr=18.277196
iter=390,loss=0.120607,psnr=18.372527
iter=400,loss=0.120107,psnr=18.408615
iter=410,loss=0.119729,psnr=18.436025
iter=420,loss=0.119510,psnr=18.451923
iter=430,loss=0.119373,psnr=18.461887
iter=440,loss=0.118850,psnr=18.500048
iter=450,loss=0.115489,psnr=18.749181
iter=460,loss=0.112965,psnr=18.941123
iter=470,loss=0.111576,psnr=19.048556
iter=480,loss=0.110472,psnr=19.134923
iter=490,loss=0.109928,psnr=19.177866
iter=500,loss=0.109412,psnr=19.218700
iter=510,loss=0.107143,psnr=19.400741
iter=520,loss=0.105298,psnr=19.551610
iter=530,loss=0.104806,psnr=19.592286
iter=540,loss=0.104669,psnr=19.603658
iter=550,loss=0.104581,psnr=19.610911
iter=560,loss=0.104521,psnr=19.615926
iter=570,loss=0.104504,psnr=19.617382
iter=580,loss=0.104292,psnr=19.634977
iter=590,loss=0.103632,psnr=19.690123
iter=600,loss=0.102874,psnr=19.753924
iter=610,loss=0.101881,psnr=19.838096
iter=620,loss=0.100997,psnr=19.913832
iter=630,loss=0.099811,psnr=20.016475
iter=640,loss=0.096792,psnr=20.283218
iter=650,loss=0.094408,psnr=20.499831
iter=660,loss=0.092823,psnr=20.646927
iter=670,loss=0.090624,psnr=20.855106
iter=680,loss=0.089300,psnr=20.982975
iter=690,loss=0.087769,psnr=21.133193
iter=700,loss=0.086919,psnr=21.217730
iter=710,loss=0.086481,psnr=21.261547
iter=720,loss=0.086392,psnr=21.270569
iter=730,loss=0.086397,psnr=21.270056
iter=740,loss=0.086118,psnr=21.298153
iter=750,loss=0.085581,psnr=21.352494
iter=760,loss=0.085383,psnr=21.372608
iter=770,loss=0.085366,psnr=21.374335
iter=780,loss=0.085451,psnr=21.365637
iter=790,loss=0.085571,psnr=21.353513
iter=800,loss=0.085109,psnr=21.400480
